id,text,tag
Alandemel_page_1.png,+,I-INSTRUCTIONNOTES
Alandemel_page_1.png,VAT,I-INSTRUCTIONNOTES
Alandemel_page_1.png,(Manufacturer's,I-INSTRUCTIONNOTES
Alandemel_page_1.png,Warranty,I-INSTRUCTIONNOTES
Alandemel_page_1.png,-,I-INSTRUCTIONNOTES
Alandemel_page_1.png,1,I-INSTRUCTIONNOTES
Alandemel_page_1.png,Year),I-INSTRUCTIONNOTES
Alandemel_page_1.png,"Delivery,",I-INSTRUCTIONNOTES
Alandemel_page_1.png,"Installation,",I-INSTRUCTIONNOTES
Alandemel_page_1.png,and,I-INSTRUCTIONNOTES
Alandemel_page_1.png,Removal,I-INSTRUCTIONNOTES
Alandemel_page_1.png,-,I-INSTRUCTIONNOTES
Alandemel_page_1.png,£99,I-INSTRUCTIONNOTES
Alandemel_page_1.png,+,I-INSTRUCTIONNOTES
Alandemel_page_1.png,VAT,I-INSTRUCTIONNOTES
Alandemel_page_1.png,Date:,O
Alandemel_page_1.png,15/11/2023,B-ORDERDATE
Alandemel_page_1.png,Order,O
Alandemel_page_1.png,BROS-11206742,B-PAYMENTPONUMBER
Alandemel_page_1.png,Ordered,O
Alandemel_page_1.png,By:,O
Alandemel_page_1.png,Jeri,B-PAYMENTBYERNAME
Alandemel_page_1.png,Davison,I-PAYMENTBYERNAME
Alandemel_page_1.png,(Bromley,I-PAYMENTBYERNAME
Alandemel_page_1.png,PMC),I-PAYMENTBYERNAME
Alandemel_page_1.png,Con.Fax:,O
Alandemel_page_1.png,Access:,O
Alandemel_page_1.png,tenant,B-ACCESSKEY
Alandemel_page_1.png,Key,O
Alandemel_page_1.png,Return,O
Alandemel_page_1.png,Keys,O
Alandemel_page_1.png,Property,O
Alandemel_page_1.png,571493,O
Alandemel_page_1.png, ,O
Alandemel_page_1.png, ,O
Alandemel_page_1.png,Stoptap,O
Alandemel_page_1.png,Please,O
Alandemel_page_1.png,contact,O
Alandemel_page_1.png,the,O
Alandemel_page_1.png,office,O
Alandemel_page_1.png,below,O
Alandemel_page_1.png,with,O
Alandemel_page_1.png,a,O
Alandemel_page_1.png,quotation,O
Alandemel_page_1.png,prior,O
Alandemel_page_1.png,to,O
Alandemel_page_1.png,carrying,O
Alandemel_page_1.png,out,O
Alandemel_page_1.png,any,O
Alandemel_page_1.png,works.,O
Alandemel_page_1.png,Required,O
Alandemel_page_1.png,By:,O
Alandemel_page_1.png,24/11/23,B-REQUIREDDATE
Alandemel_page_1.png,0:00,O
Alandemel_page_1.png,As,O
Alandemel_page_1.png,this,O
Alandemel_page_1.png,works,O
Alandemel_page_1.png,order,O
Alandemel_page_1.png,has,O
Alandemel_page_1.png,been,O
Alandemel_page_1.png,placed,O
Alandemel_page_1.png,on,O
Alandemel_page_1.png,behalf,O
Alandemel_page_1.png,of,O
Alandemel_page_1.png,the,O
Alandemel_page_1.png,"Landlord,",O
Alandemel_page_1.png,your,O
Alandemel_page_1.png,invoice,O
Alandemel_page_1.png,MUST,O
Alandemel_page_1.png,be,O
Alandemel_page_1.png,addressed,O
Alandemel_page_1.png,directly,O
Alandemel_page_1.png,to,O
Alandemel_page_1.png,the,O
Alandemel_page_1.png,Landlord:,O
Alandemel_page_1.png,Miss,B-PAYMENTBILLINGNAME
Alandemel_page_1.png,Androniki,I-PAYMENTBILLINGNAME
Alandemel_page_1.png,Chlorou,I-PAYMENTBILLINGNAME
Alandemel_page_1.png,C/o,O
Alandemel_page_1.png,Bromley,B-PAYMENTCOMPANYNAME
Alandemel_page_1.png,ADM,I-PAYMENTCOMPANYNAME
Alandemel_page_1.png,and,I-PAYMENTCOMPANYNAME
Alandemel_page_1.png,Alan,I-PAYMENTCOMPANYNAME
Alandemel_page_1.png,de,I-PAYMENTCOMPANYNAME
Alandemel_page_1.png,Maid,I-PAYMENTCOMPANYNAME
Alandemel_page_1.png,(Bromley),I-PAYMENTCOMPANYNAME
Alandemel_page_1.png,|,O
Alandemel_page_1.png,19,B-PAYMENTBYERADDRESS
Alandemel_page_1.png,East,I-PAYMENTBYERADDRESS
Alandemel_page_1.png,"Street,",I-PAYMENTBYERADDRESS
Alandemel_page_1.png,Bromley,I-PAYMENTBYERADDRESS
Alandemel_page_1.png,Kent,I-PAYMENTBYERADDRESS
Alandemel_page_1.png,BR1,I-PAYMENTBYERADDRESS
Alandemel_page_1.png,1QE,I-PAYMENTBYERADDRESS
Alandemel_page_1.png,_,O
Alandemel_page_1.png,PLEASE,O
Alandemel_page_1.png,EMAUL,O
Alandemel_page_1.png,7,O
Alandemel_page_1.png,SEND,O
Alandemel_page_1.png,ALL,O
Alandemel_page_1.png,UNVOUCES,O
Alandemel_page_1.png,TO,O
Alandemel_page_1.png,TRE,O
Alandemel_page_1.png,OFFICE,O
Alandemel_page_1.png,ADDRESS,O
Alandemel_page_1.png,BELOW,O
Alandemel_page_1.png,OFFICE,O
Alandemel_page_1.png,ADDRESS:,O
Alandemel_page_1.png,19,O
Alandemel_page_1.png,East,O
Alandemel_page_1.png,"Street,",O
Alandemel_page_1.png,"Bromley,",O
Alandemel_page_1.png,"Kent,",O
Alandemel_page_1.png,BRI,O
Alandemel_page_1.png,1QE,O
Alandemel_page_1.png,PHONE:,B-PAYMENTBYERPHONE
Alandemel_page_1.png,208,I-PAYMENTBYERPHONE
Alandemel_page_1.png,466,I-PAYMENTBYERPHONE
Alandemel_page_1.png,7172,I-PAYMENTBYERPHONE
Alandemel_page_1.png,FAX:,B-PAYMENTBYERFAX
Alandemel_page_1.png,208,I-PAYMENTBYERFAX
Alandemel_page_1.png,4666331,I-PAYMENTBYERFAX
Alandemel_page_1.png,E-MAIL,O
Alandemel_page_1.png,:,O
Alandemel_page_1.png,lettings@alandemaid.co.uk,B-PAYMENTBYEREMAIL
